213,I prepared my speech to the class,To prepare is to get ready for something,1,11,prepare,v,null,null
214,I love to sail my boat on the lake,To sail is to move a boat on the water,1,11,sail,v,null,null
215,The accident was very serious,When something is serious it is bad or unsafe,1,11,serious,adj,null,null
216,I like to spend my free time fishing,To spend is to use time doing something or being somewhere,1,11,spend,v,null,null
217,Joe had a strange look on his face after he saw what happened,When something is strange it is not normal,1,11,strange,adj,null,null
218,He was telling the truth about seeing a large green snake,The truth is a fact or something that is right,1,11,truth,n,null,null
219,He is always full of energy when he wakes in the morning,To wake is to not be sleeping anymore,1,11,wake,v,null,null
220,The boy wanted to be alone to think,If someone is alone they are not with another person,1,12,alone,adj,null,null
221,She has a nice apartment in the city,An apartment is a set of rooms in a building where people live,1,12,apartment,n,null,null
222,Did you read the article in the newspaper about the soccer game?,An article is a story in a newspaper or magazine,1,12,article,n,null,null
223,He went to Paris to become an artist,An artist is a person who paints draws or makes sculptures,1,12,artist,n,null,null
224,"John has a bad attitude He""s always angry","Someone""s attitude is the way they feel and think",1,12,attitude,n,null,null
225,"If you compare cats and dogs you""ll see that they""re both good pets",To compare means to say how two things are the same and different,1,12,compare,v,null,null
226,"The boy was going to judge how his mother""s turkey tasted",To judge something is to say if it is good or bad,1,12,judge,v,null,null
227,She likes to read fashion magazines,A magazine is a regular publication with news stories and articles,1,12,magazine,n,null,null
228,Brick is a good material for building houses,A material is what is used to make something,1,12,material,n,null,null
229,Breakfast is my favorite meal because I enjoy breakfast foods,A meal is a time when food is eaten like breakfast lunch or dinner,1,12,meal,n,null,null
230,One method to remember things is to tie a string around your finger,A method is the way to do something,1,12,method,n,null,null
231,"I like my neighbor because he""s very friendly",A neighbor is a person who lives near you,1,12,neighbor,n,null,null
232,If you want to be a pilot you must have professional training,If something is professional it deals with work that uses special skills,1,12,professional,adj,null,null
233,I made a small profit from selling my old clothes,A profit is the extra money you make when you sell something,1,12,profit,n,null,null
234,The quality of his car is very good,The quality of something is how good it is,1,12,quality,n,null,null
235,The triangle is my favorite shape,A shape is a simple form like a square or circle,1,12,shape,n,null,null
236,"I don""t have much space for things in my small house",A space is an empty area,1,12,space,n,null,null
237,You can take the stairs to the second floor,Stairs are the things that are used to go up in a building,1,12,stair,n,null,null
238,This symbol tells us that we cannot smoke in this area,A symbol is a thing that stands for something else,1,12,symbol,n,null,null
239,"The man was thin because he didn""t eat much",If someone or something is thin they are not fat,1,12,thin,adj,null,null
240,I cut my finger and got blood on my shirt,Blood is the red liquid in your body,1,13,blood,n,null,null
241,I burned some wood in the camp fire,To burn something is to set it on fire,1,13,burn,v,null,null
242,The jail cell was very small,A cell is a small room where a person is locked in,1,13,cell,n,null,null
243,The mailbox contained a letter,To contain something is to have it inside,1,13,contain,v,null,null
244,All of my answers on the test were correct,To be correct is to be right,1,13,correct,adj,null,null
245,Wheat is a crop that is made into bread,A crop is food that a farmer grows,1,13,crop,n,null,null
246,The workers demanded to be paid more money,To demand something is to say strongly that you want it,1,13,demand,v,null,null
247,Both students are equal in age,To be equal is to be the same,1,13,equal,adj,null,null
248,Mother feeds my baby brother everyday,To feed is to give food,1,13,feed,v,null,null
249,The man was going to jump into the hole in the ice,A hole is an opening in something,1,13,hole,n,null,null
250,"They""ve increased the price of gas by 15 cents!",To increase something is to make it larger or more,1,13,increase,v,null,null
251,The lord of the town was not kind,Long ago a lord was a man in charge of a town,1,13,lord,n,null,null
252,I owed him twenty dollars so I paid him back,To owe is to have to pay or give back something received from another,1,13,owe,v,null,null
253,How can you sit in that position?,A position is the way something is placed,1,13,position,n,null,null
254,We had to work together to raise the last piece,To raise something is to lift it up,1,13,raise,v,null,null
255,I try to be responsible and save money,If a person is responsible they do the right things,1,13,responsible,adj,null,null
256,I saw the pyramids of Egypt What a sight!,A sight is something interesting to see,1,13,sight,n,null,null
257,The kitchen is a good spot to eat meals,A spot is a place where something happens,1,13,spot,n,null,null
258,They just built a beautiful new structure downtown,A structure is a building,1,13,structure,n,null,null
259,"I ate the whole pie We don""t have any more",Whole means all of something,1,13,whole,adj,null,null
260,My coach gets very excited during games,A coach is a person who teaches sports,1,14,coach,n,null,null
261,To control the TV just push the buttons,To control something is to make it do what you want,1,14,control,v,null,null
262,I gave a description of the man with the gun and hat to the police,A description of someone or something says what they are like,1,14,description,n,null,null
263,The green path is a direct route to my house,If something is direct it goes straight between two places,1,14,direct,adj,null,null
264,I did some practice questions for the math exam on the board,An exam is a test,1,14,exam,n,null,null
265,Cola is an example of a soft drink,An example of something is a thing that is typical of it,1,14,example,n,null,null
266,My mother put a limit on how much I could use the phone,A limit is the largest or smallest amount of something that you allow,1,14,limit,n,null,null
267,The local market in my neighborhood sells all the food we need,If something is local it is nearby,1,14,local,adj,null,null
268,The fireworks made the night sky look so magical,Magical describes a quality that makes someone or something special,1,14,magical,adj,null,null
269,I get a lot of mail because I have friends all over the world,Mail is letters and other things sent to people,1,14,mail,n,null,null
270,He wrote a great novel about ancient China,A novel is a book that tells a story,1,14,novel,n,null,null
271,Before I wrote my essay I made an outline,An outline is the plan for a story or essay,1,14,outline,n,null,null
272,William Shakespeare was one of the greatest poets,A poet is a person who writes poems,1,14,poet,n,null,null
273,Make sure that you print your name clearly,To print something is to put it onto paper,1,14,print,v,null,null
274,A movie is made up of many short pieces or scenes,A scene is one part of a book or movie,1,14,scene,n,null,null
275,I only needed a single sheet of paper to do my homework,A sheet is a thin flat piece of paper,1,14,sheet,n,null,null
276,"I made a silly mistake of dropping mom""s vase",If someone or something is silly they show a lack of thought,1,14,silly,adj,null,null
277,I picked up a few things at the grocery store,A store is a place where you can buy things,1,14,store,n,null,null
278,Her headache made her suffer all day,To suffer is to feel pain,1,14,suffer,v,null,null
279,He loves technology such as laptop computers,Technology is new things made by using science,1,14,technology,n,null,null
280,He walked across the board to the other side,To go across something is to go to the other side of it,1,15,across,prep,null,null
281,We need strong healthy lungs to help us breathe well,To breathe means to let air go in and out of your body,1,15,breathe,v,null,null
282,One characteristic of tigers is their black stripes,A characteristic is something that shows what a person or a thing is like,1,15,characteristic,n,null,null
